KEYW	Zygnemophyceae	Streptophyte Algae
KFEB	Chlorophyceae	Chlorophyta
KFZY	CoreEudicots/Asterids	Asterids
KGJF	CoreEudicots/Asterids	Asterids
KIIX	LeptosporangiateMonilophytes	Monilophytes
KJAA	CoreEudicots Caryophyllales	Caryophyllales
KJYC	Lycophytes	Lycophytes
KJZG	LeptosporangiateMonilophytes	Monilophytes
KKDQ	CoreEudicots/Rosids	Rosids
KLGF	Pinales	Gymnosperms
KMNX	Zygnemophyceae	Streptophyte Algae
KNMB	CoreEudicots/Rosids	Rosids
KOFB	Monocots	Monocots
KPTE	CoreEudicots/Rosids	Rosids
KPUM	CoreEudicots/Asterids	Asterids
KRJP	Magnoliids	Magnoliids
KRUQ	Liverworts	Liverworts
KSFK	Ulvophyceae	Chlorophyta
KTAR	CoreEudicots/Asterids	Asterids
KTWL	CoreEudicots/Asterids	Asterids
KUJU	Chlorophyceae	Chlorophyta
KUXM	Lycophytes	Lycophytes
KVAY	CoreEudicots/Rosids	Rosids
KVFU	CoreEudicots/Asterids	Asterids
KWGC	CoreEudicots Saxifragales	Eudicots
KXSK	Monocots	Monocots
KYAD	CoreEudicots/Rosids	Rosids
KYIO	Mesostigmatophyceae	Streptophyte Algae
KYNE	Monocots	Monocots
KZED	CoreEudicots/Rosids	Rosids
Klefl_v1.0	Klebsormidiales	Streptophyte Algae
LAPO	CoreEudicots/Rosids	Rosids
LBRP	Chlorophyceae	Chlorophyta
LDEL	CoreEudicots Caryophyllales	Caryophyllales
LDME	Monocots	Monocots
LDRY	Chromista	Chromista
LELS	Monocots	Monocots
LEMW	Monocots	Monocots
LETF	Ulvophyceae	Chlorophyta
LFOG	CoreEudicots/Rosids	Rosids
LGDQ	Lycophytes	Lycophytes
LGOW	Liverworts	Liverworts
LHLE	LeptosporangiateMonilophytes	Monilophytes
LIRF	Chromista	Chromista
LJPN	Rhodophyta	Rhodophyta
LJQF	CoreEudicots/Rosids	Rosids
LKKX	CoreEudicots Caryophyllales	Caryophyllales
LLEN	ChromistaHaptophyceae	Chromista
LLQV	CoreEudicots Caryophyllales	Caryophyllales
LLXJ	Rhodophyta	Rhodophyta
LNER	CoreEudicots/Rosids	Rosids
LNIL	Chlorophyceae	Chlorophyta
LNSF	Mosses	Mosses
LPGY	CoreEudicots/Rosids	Rosids
LQJY	CoreEudicots/Asterids	Asterids
LRRR	CoreEudicots/Asterids	Asterids
LRTN	CoreEudicots/Asterids	Asterids
LSHT	Ulvophyceae	Chlorophyta
LSJW	Monocots	Monocots
LSKK	Monocots	Monocots
LTZF	Monocots	Monocots
LVUS	CoreEudicots/Rosids	Rosids
LWCK	CoreEudicots/Asterids	Asterids
LWDA	CoreEudicots/Rosids	Rosids
LXRN	ChromistaHaptophyceae	Chromista
LYPZ	CoreEudicots/Asterids	Asterids
MAQO	Magnoliids	Magnoliids
MCHJ	Zygnemophyceae	Streptophyte Algae
MCPK	Mamiellophyceae	Chlorophyta
MDJK	CoreEudicots/Asterids	Asterids
MEKP	LeptosporangiateMonilophytes	Monilophytes
MFEA	CoreEudicots/Rosids	Rosids
MFIN	Monocots	Monocots
MFTM	Pinales	Gymnosperms
MFYC	Trebouxiophyceae	Chlorophyta
MFZO	Zygnemophyceae	Streptophyte Algae
MGVU	CoreEudicots/Asterids	Asterids
MHGD	Pinales	Gymnosperms
MHYG	CoreEudicots/Asterids	Asterids
MIRS	Mosses	Mosses
MIXZ	Pinales	Gymnosperms
MKZR	CoreEudicots/Asterids	Asterids
MMKU	Nephroselmidophyceae Nephroselmidales	Chlorophyta
MNCB	Trebouxiophyceae	Chlorophyta
MNNM	Zygnemophyceae	Streptophyte Algae
MOYY	Zygnemophyceae	Streptophyte Algae
MQIV	CoreEudicots/Asterids	Asterids
MRKX	CoreEudicots Caryophyllales	Caryophyllales
MROH	LeptosporangiateMonilophytes	Monilophytes
MTGC	LeptosporangiateMonilophytes	Monilophytes
MTHW	Monocots	Monocots
MTII	Monocots	Monocots
MULF	Chlorophyceae	Chlorophyta
MUMD	Monocots	Monocots
MUNP	Magnoliids	Magnoliids
MVRF	Monocots	Monocots
MVSE	CoreEudicots/Asterids	Asterids
MWAN	Chlorophyceae	Chlorophyta
MWXT	Charophyceae	Streptophyte Algae
MWYQ	Monocots	Monocots
MXDS	Chlorophyceae	Chlorophyta
MXFG	CoreEudicots/Asterids	Asterids
MYMP	CoreEudicots/Rosids	Rosids
MYVH	CoreEudicots/Rosids	Rosids
MYZV	CoreEudicots/Rosids	Rosids
MZLD	CoreEudicots/Asterids	Asterids
MZOB	CoreEudicots/Asterids	Asterids
Manes_v4.1	CoreEudicots/Rosids	Rosids
Micpu_v3.0	Mamiellophyceae	Chlorophyta
Mimgu_v2.0	CoreEudicots/Asterids	Asterids
Musac_v1.0	Monocots	Monocots
NATT	Ulvophyceae	Chlorophyta
NAUM	CoreEudicots/Asterids	Asterids
NBMW	CoreEudicots/Asterids	Asterids
NBYP	Zygnemophyceae	Streptophyte Algae
NCVK	CoreEudicots/Rosids	Rosids
NDUV	LeptosporangiateMonilophytes	Monilophytes
NEBM	CoreEudicots/Rosids	Rosids
NFXV	CoreEudicots/Rosids	Rosids
NGRR	CoreEudicots/Asterids	Asterids
NGTD	Mosses	Mosses
NHAG	CoreEudicots/Asterids	Asterids
NHCM	EusporangiateMonilophytes	Monilophytes
NHIX	Monocots	Monocots
NHUA	CoreEudicots/Rosids	Rosids
NIGS	CoreEudicots/Asterids	Asterids
NJLF	CoreEudicots/Rosids	Rosids
NKIN	Pinales	Gymnosperms
NKXU	Trebouxiophyceae	Chlorophyta
NMAK	ChromistaHaptophyceae	Chromista
NMDZ	CoreEudicots/Asterids	Asterids
NMGG	BasalEudicots Ranunculales	Eudicots
NNGU	CoreEudicots/Rosids	Rosids
NNHQ	Streptophytaincertaesedis	Streptophyte Algae
NNOK	Monocots	Monocots
NOKI	LeptosporangiateMonilophytes	Monilophytes
NPND	BasalAngiosperms	Basal Angiosperms
NPRL	Pinales	Gymnosperms
NQYP	Ulvophyceae	Chlorophyta
NRWZ	Liverworts	Liverworts
NRXL	Pinales	Gymnosperms
NSPR	Monocots	Monocots
NSTT	Ulvophyceae	Chlorophyta
NTEO	CoreEudicots/Asterids	Asterids
NUZN	CoreEudicots Saxifragales	Eudicots
NVGZ	Pinales	Gymnosperms
NVSO	CoreEudicots/Asterids	Asterids
NWMY	BasalAngiosperms	Basal Angiosperms
NWWI	LeptosporangiateMonilophytes	Monilophytes
NXOH	CoreEudicots/Rosids	Rosids
NXTS	CoreEudicots Caryophyllales	Caryophyllales
Nelnu_v1.0	BasalEudicots	Eudicots
OAEZ	Ulvophyceae	Chlorophyta
OAGK	CoreEudicots/Asterids	Asterids
OBPL	Magnoliids	Magnoliids
OBTI	CoreEudicots/Rosids	Rosids
OBUY	Rhodophyta	Rhodophyta
OCTM	CoreEudicots/Rosids	Rosids
OCWZ	Monocots	Monocots
OCZL	LeptosporangiateMonilophytes	Monilophytes
ODDO	CoreEudicots/Asterids	Asterids
